Pin#, PORT IO, Function, Direction
48,GP03,ADC_CH1,
49,GP04,ADC_CH2,
50,GP05,ADC_CH3,
44,GP00,GPIO00,Output
51,GP06,GPIO06,Input
52,GP07,GPIO07,Input
53,GP08,GPIO08,Input
54,GP09,GPIO09,Input
3,GP10,GPIO10,Input
4,GP11,GPIO11,Input
9,GP12,GPIO12,Input
10,GP13,GPIO13,Input
5,GP14,GPIO14,Input
6,GP15,GPIO15,Input
7,GP16,GPIO16,Input
8,GP17,GPIO17,Input
11,GP22,GPIO22,Input
12,TDI,GPIO23,Input
18,TDO,GPIO24,Input
19,GP28,GPIO28,Input
22,TMS,GPIO29,Input
23,SOP2,GPIO25,Input
42,GP30,GPIO30,Input
46,GP01,UART0_TX,
47,GP02,UART0_RX,
